"Year","Dam","MedianPassage","Species","MeanMayTemp","arr_GAM_mean"
2001,"Rock Island",144,"Coho",10.752641509434,NA
2002,"Rock Island",148,"Coho",9.69794520547945,NA
2003,"Rock Island",154,"Coho",9.58372434017595,NA
2004,"Rock Island",144,"Coho",10.593098782138,NA
2005,"Rock Island",135,"Coho",10.51644245142,NA
2006,"Rock Island",140,"Coho",10.5612055641422,NA
2007,"Rock Island",144,"Coho",9.54159292035398,NA
2008,"Rock Island",145,"Coho",9.6043068640646,NA
2009,"Rock Island",150,"Coho",9.28921161825726,NA
2010,"Rock Island",147,"Coho",9.46209239130435,122.17
2011,"Rock Island",147,"Coho",9.10282258064516,123.123333333333
2012,"Rock Island",137,"Coho",10.0055181695828,116.028666666667
2013,"Rock Island",140,"Coho",10.340620782726,118.798
2014,"Rock Island",143,"Coho",10.3283149171271,153.777
2015,"Rock Island",144,"Coho",11.6495956873315,165.573666666667
2016,"Rock Island",132,"Coho",12.4775978407557,131.405333333333
2017,"Rock Island",140,"Coho",10.0482866043614,157.179
2018,"Rock Island",135,"Coho",11.0234398782344,119.141333333333
2019,"Rock Island",150,"Coho",9.97770800627944,125.166333333333
2020,"Rock Island",143,"Coho",10.1623149394347,141.014333333333
2021,"Rock Island",147,"Coho",10.0986541049798,136.743666666667
2000,"Rock Island",134,"Sockeye",10.476198630137,NA
2001,"Rock Island",145,"Sockeye",10.752641509434,NA
2002,"Rock Island",130,"Sockeye",9.69794520547945,NA
2003,"Rock Island",130,"Sockeye",9.58372434017595,NA
2004,"Rock Island",123,"Sockeye",10.593098782138,NA
2005,"Rock Island",132,"Sockeye",10.51644245142,NA
2006,"Rock Island",141,"Sockeye",10.5612055641422,NA
2007,"Rock Island",140,"Sockeye",9.54159292035398,NA
2008,"Rock Island",146,"Sockeye",9.6043068640646,NA
2009,"Rock Island",147,"Sockeye",9.28921161825726,NA
2010,"Rock Island",144,"Sockeye",9.46209239130435,122.17
2011,"Rock Island",140,"Sockeye",9.10282258064516,123.123333333333
2012,"Rock Island",130,"Sockeye",10.0055181695828,116.028666666667
2013,"Rock Island",136,"Sockeye",10.340620782726,118.798
2014,"Rock Island",134,"Sockeye",10.3283149171271,153.777
2015,"Rock Island",115,"Sockeye",11.6495956873315,165.573666666667
2016,"Rock Island",124,"Sockeye",12.4775978407557,131.405333333333
2017,"Rock Island",132,"Sockeye",10.0482866043614,157.179
2018,"Rock Island",128,"Sockeye",11.0234398782344,119.141333333333
2019,"Rock Island",136,"Sockeye",9.97770800627944,125.166333333333
2020,"Rock Island",138,"Sockeye",10.1623149394347,141.014333333333
2021,"Rock Island",130,"Sockeye",10.0986541049798,136.743666666667
2000,"Rock Island",139,"Steelhead",10.476198630137,NA
2001,"Rock Island",NA,"Steelhead",10.752641509434,NA
2002,"Rock Island",144,"Steelhead",9.69794520547945,NA
2003,"Rock Island",146,"Steelhead",9.58372434017595,NA
2004,"Rock Island",133,"Steelhead",10.593098782138,NA
2005,"Rock Island",132,"Steelhead",10.51644245142,NA
2006,"Rock Island",139,"Steelhead",10.5612055641422,NA
2007,"Rock Island",141,"Steelhead",9.54159292035398,NA
